[00:00.000 --> 00:02.000]  Abonnez-vous !
[01:20:41.000 --> 01:20:43.000]  Je ne dis pas que ça ne viendra jamais.
[01:20:43.000 --> 01:20:45.000]  Mais pour l'instant, ce n'est pas du tout prévu.
[01:20:45.000 --> 01:20:50.000]  Si jamais vous deviez, enfin, on devait, on choisissait de faire une vente de fonds de commerce,
[01:20:50.000 --> 01:20:57.000]  eh bien, on s'adresserait à des professionnels spécialisés là-dedans, que ce soit des avocats ou des notaires ou des cabinets comptables.
[01:20:57.000 --> 01:21:02.000]  Et il faudrait que nous disions à nos clients, attention, ça, je ne suis pas compétent.
[01:21:02.000 --> 01:21:07.000]  Donc, nous allons nous adresser à maître Machin qui est avocat spécialiste des fonds de commerce.
[01:21:07.000 --> 01:21:15.000]  De lui là, à tel endroit, je dois dire qui, quoi, comment et combien ça va coûter et qui va le payer.
[01:21:19.000 --> 01:21:22.000]  Donc, vous voyez, là, c'est du très concret.
[01:21:22.000 --> 01:21:27.000]  Du très concret, pourquoi ? Parce que je vous disais, encore hier, Christine dit sujet brûlant pour moi.
[01:21:27.000 --> 01:21:35.000]  Exactement. Encore hier, j'avais Christine au téléphone hier après-midi parce que Christine est en train de vendre les murs d'un restaurant,
[01:21:35.000 --> 01:21:38.000]  parce que les murs, on peut très bien les vendre, on sait très bien faire.
[01:21:38.000 --> 01:21:45.000]  Mais comme les murs ne se vendent pas parce que c'est très cher, le vendeur se dit, tiens, on ne pourrait pas au moins vendre le fonds de commerce.
[01:21:45.000 --> 01:21:48.000]  Et là, Christine doit dire, non, je ne suis pas compétent.
[01:21:48.000 --> 01:21:52.000]  Les murs, je sais très bien faire. La lucarne, je sais très bien faire. Le fonds de commerce, je ne sais pas faire.
[01:21:52.000 --> 01:21:54.000]  La lucarne ne sait pas faire.
[01:21:54.000 --> 01:21:58.000]  Vous voyez, donc ça, encore, c'est quelque chose de très concret.
[01:21:58.000 --> 01:22:01.000]  En ce moment même, Christine est sur un dossier comme celui-là.
[01:22:01.000 --> 01:22:04.000]  OK ? Donc, non, on ne peut vendre que les murs.
[01:22:04.000 --> 01:22:09.000]  Alors, attention, il y a une chose aussi qu'on peut faire. On le fait peu, mais on sait très bien le faire.
[01:22:09.000 --> 01:22:13.000]  Et on peut vous guider facilement là-dessus parce que juridiquement, c'est très simple.
[01:22:13.000 --> 01:22:16.000]  C'est les sessions de baux commerciaux.
[01:22:16.000 --> 01:22:20.000]  Une session de bail commercial, on sait très bien faire. C'est très facile, c'est très simple.
[01:22:20.000 --> 01:22:24.000]  C'est très simple. Je vais faire ça les yeux fermés, les mains dans le dos, dans une cave obscure.
[01:22:24.000 --> 01:22:27.000]  Mais ce n'est pas trop notre métier.
[01:22:27.000 --> 01:22:30.000]  Donc, on peut faire les murs ou les baux commerciaux.
[01:22:30.000 --> 01:22:33.000]  Dans les faits, nombre d'entre vous vendent des murs commerciaux.
[01:22:33.000 --> 01:22:35.000]  On fait ça tous les jours, pas de problème.
[01:22:35.000 --> 01:22:38.000]  Les baux commerciaux, on en fait très, très, très, très, très rarement.
[01:22:38.000 --> 01:22:43.000]  Mais sachez que si vous tombiez sur un bail commercial à céder quelque part, on peut le faire.
[01:22:43.000 --> 01:22:47.000]  Attention, notre diffusion d'annonce n'est pas optimisée pour cela.
[01:22:48.000 --> 01:22:50.000]  On n'a pas une bonne diffusion.
[01:22:50.000 --> 01:22:53.000]  Concrètement, on n'a pas les bons abonnements chez ce loger et chez le bon coin.
[01:22:53.000 --> 01:22:55.000]  C'est aussi simple que ça.
[01:22:55.000 --> 01:22:56.000]  Ok ?
[01:22:56.000 --> 01:22:58.000]  Alors, dernière chose, oui, pardon.
[01:22:58.000 --> 01:23:00.000]  Elle veille au professionnalisme de ces dernières.
[01:23:00.000 --> 01:23:02.000]  Oui, vous ne pouvez pas dire, je m'adresse à un tel.
[01:23:02.000 --> 01:23:05.000]  Et en fait, Saint-Clochard, je n'ai pas vérifié s'il connaissait son métier.
[01:23:05.000 --> 01:23:11.000]  Non, c'est je m'adresse à un tel et je me suis inquiet de savoir si vraiment il savait de quoi il parlait.
[01:23:11.000 --> 01:23:14.000]  Je ne peux pas dire derrière, ah, ce n'est pas mon problème s'il ne connaît pas son boulot.
[01:23:14.000 --> 01:23:18.000]  C'est vous qui l'avez mandaté potentiellement pour intervenir dans cette opération.
[01:23:18.000 --> 01:23:24.000]  Donc, vous vérifiez que c'est un vrai avocat, un vrai notaire, que c'est un vrai professionnel.
[01:23:24.000 --> 01:23:26.000]  Est-ce qu'on envisage aussi la vente à terme ?
[01:23:26.000 --> 01:23:27.000]  Non, pas du tout.
[01:23:27.000 --> 01:23:30.000]  La vente à terme, on ne l'envisage pas dans les médias.
[01:23:30.000 --> 01:23:32.000]  La vente à terme, c'est pas...
[01:23:32.000 --> 01:23:35.000]  Alors, très rapidement sur la vente à terme.
[01:23:35.000 --> 01:23:38.000]  Parce que c'est quand même une question à laquelle vous êtes, les uns et les autres,
[01:23:38.000 --> 01:23:39.000]  confrontés une fois de temps en temps.
[01:23:39.000 --> 01:23:41.000]  Pas tous les jours, mais ça arrive.
[01:23:41.000 --> 01:23:42.000]  La vente à terme, qu'est-ce que c'est ?
[01:23:42.000 --> 01:23:43.000]  C'est une forme de viager.
[01:23:44.000 --> 01:23:48.000]  Le viager est une vente à terme, potentiellement,
[01:23:48.000 --> 01:23:49.000]  pas forcément.
[01:23:49.000 --> 01:23:52.000]  La vente à terme n'est pas forcément un viager.
[01:23:52.000 --> 01:24:02.000]  La vente à terme, c'est une vente qui sera actée plus tard dans le futur, dans un futur lointain.
[01:24:02.000 --> 01:24:05.000]  Parce que lorsqu'on fait une vente, on signe une promesse de vente
[01:24:05.000 --> 01:24:12.000]  et ensuite, on a un acte authentique qui se fait dans les trois mois qui suivent, dans 80% des cas.
[01:24:12.000 --> 01:24:16.000]  Parfois, on a des dossiers qui peuvent aller un petit peu plus loin dans le temps,
[01:24:16.000 --> 01:24:20.000]  parce qu'il y a des spécificités, notamment quand on travaille avec des promoteurs.
[01:24:20.000 --> 01:24:27.000]  Saïd et Marjorie, on sent des exemples typiques qui font régulièrement des opérations avec des promoteurs
[01:24:27.000 --> 01:24:28.000]  et ça repousse.
[01:24:28.000 --> 01:24:30.000]  C'est ce qu'on appelle des ventes longues.
[01:24:30.000 --> 01:24:35.000]  Ça repousse à potentiellement 6 mois, 1 an, 1 an et demi.
[01:24:35.000 --> 01:24:37.000]  C'est tout à fait possible.
[01:24:37.000 --> 01:24:40.000]  Ce sont des ventes traditionnelles avec un terme plus loin.
[01:24:40.000 --> 01:24:42.000]  Les ventes à terme, c'est complètement autre chose.
[01:24:42.000 --> 01:24:46.000]  On l'appelle les ventes à terme pure.
[01:24:46.000 --> 01:24:54.000]  C'est une vente dans laquelle on signe pas forcément une promesse, on signe un contrat.
[01:24:54.000 --> 01:24:56.000]  Une promesse est un contrat, vous me direz bien sûr.
[01:24:56.000 --> 01:24:59.000]  C'est pas forcément une promesse de vente, ça peut être un simple contrat,
[01:24:59.000 --> 01:25:03.000]  avec notamment la plupart du temps un contrat de location.
[01:25:03.000 --> 01:25:07.000]  Donc, je n'achète pas votre maison, monsieur, je vais la louer.
[01:25:07.000 --> 01:25:12.000]  C'est pas obligatoire qu'il y ait une location, mais dans 94 sur 100, ça passe par une location.
[01:25:12.000 --> 01:25:22.000]  Je loue votre maison, monsieur, pendant 3 ans et je vous l'achèterai peut-être dans 3 ans,
[01:25:22.000 --> 01:25:27.000]  un prix négocié qui prendra compte des loyers que je vous ai versés, etc.
[01:25:28.000 --> 01:25:33.000]  Ça veut dire que, et d'ailleurs on en discutait hier avec Christine,
[01:25:33.000 --> 01:25:39.000]  parce qu'on envisageait une espèce de schéma qui s'approche de la vente à terme,
[01:25:39.000 --> 01:25:48.000]  dans lequel un acquéreur pourrait dire je prends le fonds de commerce maintenant et j'achèterai les murs plus tard.
[01:25:48.000 --> 01:25:53.000]  Le gros problème c'est que dans 3 ans vos honoraires pouvaient faire une croix dessus.
[01:25:53.000 --> 01:25:57.000]  On ne fait pas de vente à terme non pas parce que juridiquement on ne sait pas faire,
[01:25:57.000 --> 01:25:59.000]  parce que juridiquement on sait très bien faire.
[01:25:59.000 --> 01:26:03.000]  Ce n'est pas compliqué, c'est une vente un peu différente, pas tellement,
[01:26:03.000 --> 01:26:07.000]  mais dans 3 ans pour toucher vos honoraires vous pouvez vous brosser.
[01:26:07.000 --> 01:26:14.000]  Parce que dans 9 ventes à terme sur 10, même 99 sur 100, vous ne touchez pas vos honoraires aujourd'hui.
[01:26:14.000 --> 01:26:18.000]  Vous les toucherez au terme de la vente.
[01:26:18.000 --> 01:26:22.000]  Si au terme de la vente on accepte de vous les donner,
[01:26:22.000 --> 01:26:29.000]  parce qu'il se sera écoulé tellement de temps que vous aurez été oublié, vous aurez été mis aux oubliettes.
[01:26:29.000 --> 01:26:35.000]  Et c'est la différence entre les notaires et les avocats.
[01:26:35.000 --> 01:26:39.000]  Parce qu'hier on étudiait avec Christine la possibilité d'un fonds de commerce,
[01:26:39.000 --> 01:26:42.000]  puisque les sessions de fonds de commerce se font souvent par les avocats,
[01:26:42.000 --> 01:26:46.000]  et alors les avocats pour qui vous payent vos honoraires vous fait courir.
[01:26:46.000 --> 01:26:50.000]  Le notaire dira attention, là dans mon acte je vois qu'il y avait une agence immobilière, on ne peut pas la squeezez.
[01:26:50.000 --> 01:26:52.000]  L'avocat dira on va la squeezez.
[01:26:52.000 --> 01:26:57.000]  Moi je serais l'avocat des acquérants ou des vendeurs, je dis bougez pas, je m'occupe de tout, vous n'allez rien leur verser.
[01:26:57.000 --> 01:26:59.000]  Ou alors trois croûtes de pain.
[01:26:59.000 --> 01:27:03.000]  Le notaire c'est différent, il n'a pas la souplesse de l'avocat.
[01:27:03.000 --> 01:27:09.000]  Mais il sera temps à ce moment là de vous oublier ou de feindre de vous oublier,
[01:27:09.000 --> 01:27:15.000]  afin de vous acculer, de vous mettre dos au mur pour renégocier vos honoraires.
[01:27:15.000 --> 01:27:20.000]  En gros dans une vente à terme vos honoraires sont en très grand danger.
[01:27:20.000 --> 01:27:23.000]  C'est pour ça qu'on n'en fait pas.
[01:27:23.000 --> 01:27:28.000]  Ça ouvre la porte à plein de procès et surtout à ne pas toucher vos honoraires.
[01:27:28.000 --> 01:27:32.000]  Donc ce n'est pas pour une question de compétences que nous ne faisons pas de vente à terme,
[01:27:32.000 --> 01:27:37.000]  c'est parce que dans les ventes à terme vous n'êtes jamais payés, on n'est jamais payés.
[01:27:38.000 --> 01:27:42.000]  Alors, nombre d'entre vous disent qu'ils sont toujours à l'écoute,
[01:27:42.000 --> 01:27:52.000]  est-ce que vous pourriez tous les uns après les autres dire « présent, je suis là, à l'écoute, fidèle au poste, garde à vous, le doigt sur la couture du pantalon, s'il vous plaît ».
[01:27:54.000 --> 01:27:56.000]  Je vais boire un petit peu d'eau entre temps.
[01:27:56.000 --> 01:27:59.000]  Je vous vois défiler fidèle au poste, présent, yes sir !
[01:28:08.000 --> 01:28:11.000]  Présente et très attentif.
[01:28:15.000 --> 01:28:18.000]  La couture sur le pantalon c'est dur pour ceux qui n'en ont pas.
[01:28:18.000 --> 01:28:21.000]  Ah bah oui, mais il faut faire un petit effort.
[01:28:22.000 --> 01:28:28.000]  Et le doigt sur la couture gauche du pantalon, l'audiérique, forcément c'est bon.
[01:28:28.000 --> 01:28:30.000]  Toujours à l'écoute mais j'ai faim.
[01:28:30.000 --> 01:28:35.000]  Attendez Yannick, rien ne vous empêche, j'avais cherché un petit bout de quelque chose dans un placard.
[01:28:36.000 --> 01:28:39.000]  Alors, article 5.
[01:28:40.000 --> 01:28:45.000]  Si vous n'avez plus de questions sur cette partie à margerie, elle a prévu, elle a dit né avant.
[01:28:48.000 --> 01:28:50.000]  «Organisation et gestion de l'entreprise.
[01:28:51.000 --> 01:29:02.000]  Les personnes mentionnées à l'article 1er veillent à ce que les modalités d'organisation et de fonctionnement des structures d'exercice de leur activité leur permettent d'être en conformité avec les dispositions légales, réglementaires, en vigueur et celles du présent code.
[01:29:02.000 --> 01:29:10.000]  En particulier, elles assurent la direction effective de leur entreprise et de leurs établissements sous réserve de leur faculté de nommer les directeurs d'établissement.
[01:29:10.000 --> 01:29:25.000]  Lorsqu'elles habilitent un collaborateur à négocier, s'entremettre ou s'engager pour leur compte ou nommer un directeur d'établissement, elles veillent à ce que les personnes remplissent toutes les conditions fixées par la loi et les règlements, et qu'elles présentent toutes les compétences et les qualifications nécessaires au bon accomplissement de leur mission.
[01:29:26.000 --> 01:29:30.000]  Vous me direz, mais on répète un peu ce qui était dit au dessus, oui, en le précisant un petit peu.
[01:29:31.000 --> 01:29:43.000]  Lorsque le collaborateur ainsi habilité n'est pas salarié, c'est vous, elles veillent en particulier à ce qu'il soit inscrit sur le registre spécial des agents commerciaux et qu'il ait souscrit une assurance contre les conséquences pécuniaires de sa responsabilité professionnelle.
[01:29:43.000 --> 01:30:03.000]  Les personnes mentionnées à l'article 1er précisent avec clarté et exhaustivité l'étendue des pouvoirs confiés dans l'acte notamment un directeur d'établissement ou dans l'attestation d'habilitation établie en l'application de l'article 9 du décret 721678 du 20 juillet 1972, fixant les conditions d'application de la loi n° 719 du 2 janvier 1970.
[01:30:05.000 --> 01:30:10.000]  Alors, de quoi s'agit-il ? Je pense que vous avez relativement compris.
[01:30:11.000 --> 01:30:15.000]  Aurez-vous terminé à 20h15 ? Je pense que nous aurons terminé à 20h15, oui.
[01:30:17.000 --> 01:30:27.000]  Qu'est-ce qu'on dit ici ? Eh bien, on dit tout simplement que, premièrement, les modalités d'organisation et de fonctionnement des structures d'exercice.
[01:30:27.000 --> 01:30:30.000]  On se met en conformité avec la loi en termes de création d'entreprises.
[01:30:31.000 --> 01:30:37.000]  En gros, on ne fait pas ça nous-mêmes dans notre coin à l'américaine.
[01:30:37.000 --> 01:30:50.000]  Non, on fait attention à être en conformité notamment avec le code de commerce sur la création d'une entreprise, le paiement des taxes, des cotisations et des impôts nécessaires avec les entreprises notamment de la bonne forme.
[01:30:50.000 --> 01:30:56.000]  Et ça, souvenez-vous de ce dont on a discuté lors de la première visioconférence que vous avez faite lorsque vous étiez candidat à la Lucarde.
[01:30:56.000 --> 01:31:05.000]  C'est la visioconférence administrative, en gros, depuis la loi ENL de 2006.
[01:31:05.000 --> 01:31:12.000]  On a fait une distinction très claire entre qui est agent immobilier et qui est agent commercial parce qu'avant 2006, c'était un peu l'agent.
[01:31:12.000 --> 01:31:21.000]  Entre l'agent immobilier et l'agent commercial, c'est-à-dire les négociateurs non salariés, on ne savait pas trop, est-ce qu'on peut être agent commercial, est-ce qu'il faut une carte d'agent immobilier ?
[01:31:21.000 --> 01:31:25.000]  C'était très flou. La loi ENL de 2006 a très bien précisé ça.
[01:31:25.000 --> 01:31:33.000]  Et elle a invité que l'agent immobilier exerce en société, société anonyme, SARL, SAS, etc.
[01:31:33.000 --> 01:31:41.000]  L'agent commercial exerce en tant qu'agent commercial inscrit sur le registre spécial des agents commerciaux qu'on a ici.
[01:31:41.000 --> 01:31:45.000]  Ils auraient pu rajouter ici personnes physiques.
[01:31:45.000 --> 01:31:50.000]  Parce qu'on peut être également, c'est un petit peu spécifique, mais on peut être agent commercial ou personne morale.
[01:31:50.000 --> 01:31:54.000]  Là, c'est personnes physiques et qu'on ait eu une assurance.
[01:31:54.000 --> 01:32:03.000]  C'est la raison pour laquelle, quand vous rejoignez la lucarne, on vous demande premièrement votre attestation d'immatriculation au registre spécial des agents commerciaux.
[01:32:03.000 --> 01:32:08.000]  Et on vous demande chaque année le revue de nouvellement de votre assurance responsabilité civile professionnelle.
[01:32:08.000 --> 01:32:20.000]  D'ailleurs, vous allez recevoir un e-mail très rapidement, je pense, de l'animation, là, comme tous les ans, pour vous dire, hop les amis, dès le 1er janvier, on doit avoir votre nouvelle attestation d'assurance pour 2024.
[01:32:20.000 --> 01:32:27.000]  Vous avez tardé à nous l'envoyer, on va vous envoyer 50 relances jusqu'à mi-janvier pour avoir vos assurances.
[01:32:27.000 --> 01:32:30.000]  On doit veiller à ça chaque année.
[01:32:30.000 --> 01:32:37.000]  Et nous devons donc veiller à ce que vous soyez bien, puisque vous êtes des négociateurs non salariés, agents commerciaux et personnes physiques.
[01:32:37.000 --> 01:32:43.000]  Nous, nous devons veiller à avoir la bonne structure professionnelle, à savoir une société immatriculée en France,
[01:32:44.000 --> 01:32:50.000]  avec, si on a une carte professionnelle d'agent immobilier, une personne morale et vous donc personne physique.
[01:32:50.000 --> 01:32:51.000]  C'est exactement ça.
[01:32:51.000 --> 01:32:59.000]  Et également si on a des directeurs, c'est-à-dire qu'on ouvre une autre agence dans laquelle on met éventuellement un directeur qui soit franchisé ou pas franchisé.
[01:32:59.000 --> 01:33:08.000]  Si c'est franchisé, on doit lui demander sa carte professionnelle et on doit veiller à ce qu'il ait lui aussi, une bonne société, une personne morale, une ESAS, ou que sais-je encore.
[01:33:09.000 --> 01:33:27.000]  Ou si nous mettons un directeur salarié d'une succursale, là encore, on doit veiller à ce qu'il ait la bonne carte professionnelle de directeur de succursale et de cette succursale, soit également immatriculée au registre du commerce en tant que personne morale.
[01:33:27.000 --> 01:33:29.000]  Article 6.
[01:33:29.000 --> 01:33:30.000]  Transparence.
[01:33:30.000 --> 01:33:31.000]  Attendez une question.
[01:33:31.000 --> 01:33:33.000]  J'arrête pas de me faire déconnecter de la session.
[01:33:33.000 --> 01:33:37.000]  Alors là, au cas où il y a un contrôle, on verra votre connexion, déconnexion.
[01:33:37.000 --> 01:33:41.000]  À chaque fois que vous vous déconnectez, on le voit de toute manière, Julia.
[01:33:41.000 --> 01:33:44.000]  Donc on pourra suivre le lien.
[01:33:44.000 --> 01:33:47.000]  Est-ce que Alliance vous les envoie directement comme l'envergne?
[01:33:47.000 --> 01:33:55.000]  Oui, ceux d'entre vous qui sont assurés chez Alliance à côté de Poitiers, j'ai oublié, c'est Chauvis, Chauvinis, j'ai oublié la ville.
[01:33:55.000 --> 01:34:00.000]  Effectivement, ils nous l'enverront pour tout le monde en début d'année, bien sûr.
[01:34:00.000 --> 01:34:01.000]  Article 6.
[01:34:01.000 --> 01:34:02.000]  Transparence.
[01:34:02.000 --> 01:34:05.000]  On revient avec la transparence à la loyauté.
[01:34:05.000 --> 01:34:07.000]  Il y a beaucoup de choses qui sont redondantes.
[01:34:07.000 --> 01:34:09.000]  On voit qu'ils ont meublé dans ce code de déontologie.
[01:34:09.000 --> 01:34:11.000]  Ils ont beaucoup meublé.
[01:34:11.000 --> 01:34:14.000]  Ils ont fait du remplissage, on dirait moi pendant mes disons.
[01:34:14.000 --> 01:34:19.000]  Donc transparence, on revient à ce qu'on a dit au-dessus avec la loyauté, etc.
[01:34:19.000 --> 01:34:24.000]  Dans le respect des obligations légales et réglementaires, les personnes mentionnées à l'article 1er donnent au public.
[01:34:24.000 --> 01:34:26.000]  Donc le public ne sont pas nos clients.
[01:34:26.000 --> 01:34:29.000]  Ce sont les gens qui passent dans la rue et qui regardent éventuellement la vitrine.
[01:34:29.000 --> 01:34:31.000]  Et les gens qui lisent nos annonces.
[01:34:32.000 --> 01:34:37.000]  Alors mandant, et aux autres parties aux opérations, l'acquérateur typiquement,
[01:34:37.000 --> 01:34:44.000]  puisque le mandant c'est notre vendeur et dans 99 K sur 100, et l'autre partie c'est l'acquérateur.
[01:34:44.000 --> 01:34:49.000]  Attention, si on avait un mandat de recherche que nous appelons, vous savez, depuis le mandat de négociation,
[01:34:49.000 --> 01:34:55.000]  le mandant c'est donc l'acquérateur et on doit à l'autre partie, le vendeur, la même transparence.
[01:34:55.000 --> 01:35:02.000]  Une information exacte, intelligible et complète de leurs activités professionnelles,
[01:35:02.000 --> 01:35:05.000]  y compris des services rendus à titre accessoire ou complémentaire,
[01:35:05.000 --> 01:35:11.000]  des montants et des modes de calcul de leurs honneurs pratiqués, de leurs compétences et de leurs qualifications professionnelles.
[01:35:11.000 --> 01:35:16.000]  Elles s'obligent à présenter leurs cas professionnels et à veiller à ce que leurs collaborateurs présentent
[01:35:16.000 --> 01:35:23.000]  leur institution d'habitation et leur directeur d'établissement leur récepter de déclarations préalables d'activité à la demande de toute personne intéressée.
[01:35:23.000 --> 01:35:29.000]  Deuxièmement, à tenir à la disposition de leurs mandants ou des autres partis aux opérations pour lesquelles elles ont été mandatées,
[01:35:29.000 --> 01:35:33.000]  l'identité des personnes qui interviennent dans les institutions d'édition qui leur ont été confiées.
[01:35:33.000 --> 01:35:42.000]  Troisièmement, à communiquer à première demande les coordonnées de leurs assureurs de responsabilité civile professionnelle et le cas échéant de leur garant.
[01:35:42.000 --> 01:35:49.000]  Quatrièmement, lorsqu'elles sont sollicitées pour établir un avis de valeur, informer le client que cet avis ne constitue pas une expertise.
[01:35:49.000 --> 01:35:56.000]  D'ailleurs, juste là aussi vous aviez parlé de l'expertise quand on parlait des choses pour lesquelles on n'est éventuellement pas compétent.
[01:35:56.000 --> 01:36:08.000]  Alors, nous devons donc à nos mandants, à nos futurs potents scénariens qui lisent nos annonces ou qui voient notre vitrine lorsque nous sommes des agents immobiliers traditionnels avec une boutique en centre-ville,
[01:36:08.000 --> 01:36:16.000]  à nos acquireurs une information exacte, on ne ment pas, on nous donne l'information telle qu'elle est, pas d'à peu près.
[01:36:17.000 --> 01:36:21.000]  Pas quelque chose qui s'en rapproche, on donne l'information exacte.
[01:36:21.000 --> 01:36:29.000]  Intelligibles, ça veut dire dans un langage que tout le monde peut comprendre et non pas un langage abscon ou abstrait.
[01:36:29.000 --> 01:36:39.000]  Typiquement, si vous voulez un exemple de non intelligible, demandez les uns et les autres aux copains qui ont travaillé chez IAD, demandez-leur un exemplaire de leur contrat
[01:36:39.000 --> 01:36:46.000]  et vous verrez ce que c'est qu'un contrat qui est volontairement écrit de manière non intelligible, c'est-à-dire incompréhensible,
[01:36:46.000 --> 01:36:54.000]  typiquement volontairement dans le but de par la suite faire dire ce qu'on veut à ce contrat.
[01:36:54.000 --> 01:37:05.000]  Également le cas des contrats Keller Williams que j'ai eu l'occasion de lire et d'étudier, dedans il y a tout un paragraphe qui est imbouffable et auquel on peut faire dire ce qu'on veut.
[01:37:05.000 --> 01:37:13.000]  Non, nous devons donner à nos clients une information facilement compréhensible, écrite dans un français clair et complète.
[01:37:13.000 --> 01:37:20.000]  Il doit y avoir toutes les informations. Si on fait des fonds de commerce, on doit le dire. Si on fait des locations, on doit le dire.
[01:37:20.000 --> 01:37:26.000]  On ne doit rien oublier, y compris des services rendus à titre accessoire, c'est-à-dire même quelque chose qu'on pourrait faire une fois de temps en temps.
[01:37:26.000 --> 01:37:35.000]  Exemple typique, il y a certaines agences qui vendent une maison et derrière une fois de temps en temps parce que le client leur demande.
[01:37:35.000 --> 01:37:42.000]  Accessoirement donc, font la conduite, le pilotage des travaux de réflexion de la maison.
[01:37:42.000 --> 01:37:55.000]  C'est possible dans certains cas très précis. Dans ce cas-là, il faut que ce soit sur notre site internet, on dit qu'on le fait, même si on le fait à titre accessoire, une fois tous les dix ans, on doit le dire.
[01:37:55.000 --> 01:38:04.000]  Des montants et des modes de calcul de leurs honoraires, donc transparence sur nos honoraires. Qui paye les honoraires ? L'acquérateur. Combien ? Quand ? De quelle manière ?
[01:38:04.000 --> 01:38:09.000]  Et de leurs compétences et qualifications. Est-ce qu'on a bien la carte professionnelle ? Est-ce qu'on a tout ça ?
[01:38:09.000 --> 01:38:16.000]  Dès qu'on nous le demande, là on arrive ici, on présente notre carte professionnelle à nos clients, éventuellement au notaire.
[01:38:16.000 --> 01:38:22.000]  Généralement, c'est les notaires qui nous les demandent. Les clients, je ne crois pas qu'il n'y ait jamais eu un client qui nous demande notre carte professionnelle.
[01:38:22.000 --> 01:38:27.000]  Je ne crois pas. Les notaires, ça arrive une fois tous les trois ans, une fois tous les quatre ans.
[01:38:27.000 --> 01:38:34.000]  Ça peut arriver. Donc, pour nous, pour nos directeurs d'établissement, pour nos collaborateurs, c'est-à-dire vous.
[01:38:34.000 --> 01:38:41.000]  Est-ce qu'il y en a parmi vous qui se sont déjà vu demander par leur client la carte professionnelle ? La police municipale, tu sais ?
[01:38:41.000 --> 01:38:47.000]  Ah ouais, en faisant de la prospection peut-être. Ah ouais, police municipale, ok, pourquoi pas.
[01:38:47.000 --> 01:38:53.000]  Non, jamais, non, pas encore demandé, non, non, non, non, je ne suis pas surpris, non, jamais, normalement personne ne demande.
[01:38:53.000 --> 01:38:58.000]  Oui, un client nous dit, Marc, ah oui, ok, non, non, jamais, non, pas encore.
[01:38:58.000 --> 01:39:04.000]  Là, il y a non, pas encore, Jackie nous dit ça, et Jackie est chez nous depuis une paire d'années.
[01:39:04.000 --> 01:39:10.000]  Oui, la police municipale quand on fait du boîtage. Ah ouais, c'est Julien qui nous dit ça aussi, comme Christelle.
[01:39:10.000 --> 01:39:15.000]  Non, jamais, police nous dit, Guillaume, moi je suis en sorte de la voir. Ah oui, vous devez la voir, attention.
[01:39:15.000 --> 01:39:20.000]  Pour le passage des drones trop près du voisin. Ah oui, oui, oui, oui, oui, oui, oui, oui, oui, oui.
[01:39:20.000 --> 01:39:25.000]  Ah, ça c'est encore autre chose. Non pour Xavier, jamais, non, non, non, notaire 2 fois, nous dit Pierre.
[01:39:25.000 --> 01:39:30.000]  Oui, ah bah oui, ça c'est la mafia de Valenciennes, les notaires sont méfies, hein.
[01:39:30.000 --> 01:39:35.000]  Jamais, mais je l'ai toujours sur moi au cas où, vous devez, c'est Isabelle qui me dit ça, vous devez.
[01:39:35.000 --> 01:39:41.000]  On ne me l'a jamais demandé mais je l'ai toujours sur moi au cas où, vous devez la voir sur vous effectivement parce que vous devez la présenter dès qu'on vous la demande.
[01:39:41.000 --> 01:39:46.000]  Parce que vous avez vu, c'est ici à la demande de toute personne intéressée.
[01:39:46.000 --> 01:39:50.000]  Toute personne intéressée, ça veut dire pas forcément vos clients.
[01:39:50.000 --> 01:39:55.000]  La police municipale, typiquement, c'est le bon exemple.
[01:39:55.000 --> 01:40:00.000]  Flayer de la part de la police en prospection mais pas ma carte. Ah ouais, tiens.
[01:40:00.000 --> 01:40:06.000]  La remise en cause de la charge acquéreur, oui. Ah ça c'est encore autre chose, ils ne sauront pas le remettre en cause.
[01:40:06.000 --> 01:40:12.000]  Et comment on fait quand on la redonne pour le renouvellement ? Ah oui, c'est vrai que quand vous nous la redonnez, c'est Pierre pour cette question.
[01:40:12.000 --> 01:40:21.000]  Quand vous nous la redonnez pour le renouvellement sachant que les renouvellements de carte professionnelle c'est long, ça prend plusieurs mois, c'est vrai qu'il y a plusieurs mois pendant lesquels vous ne l'avez pas.
[01:40:21.000 --> 01:40:33.000]  Alors ce que vous faites, c'est que vous en faites une photocopie que vous avez sur vous et si vous êtes contrôlé quand vous vous dites, mais c'est une photocopie, vous dites, adressez-vous à l'un du terme, j'ai dû le rendre pour le renouvellement et nous on fera les attestations nécessaires.
[01:40:33.000 --> 01:40:42.000]  Donc vous en gardez une photocopie, si vous ne l'avez pas vous savez que nous on les a scanné, on a une copie de chacune de vos cartes professionnelles, donc on peut vous la redonner si vous n'avez pas la copie.
[01:40:42.000 --> 01:40:51.000]  Et puis vous dites à celui qui vous contrôle, c'est une copie, demandez à la lucarne, parce qu'on est en plein renouvellement, mais ce sera en règle pas de souci.
[01:40:51.000 --> 01:40:54.000]  Un copie déjà fait pour Pierre, mais je ne suis pas surpris.
[01:40:54.000 --> 01:40:57.000]  Moi je l'ai payé mais jamais reçu nous dit Philippe.
[01:40:57.000 --> 01:40:59.000]  Attendez, je vais regarder Philippe pourquoi on ne l'a pas.
[01:40:59.000 --> 01:41:02.000]  Ça me surprend quand même que vous l'ayez payé mais pas reçu.
