[00:00.000 --> 00:03.000]  Réseau d’agent Mandat
[50:17.000 --> 50:21.000]  Dans un réseau comme le nôtre ou comme safty, c'est ingérable.
[50:21.000 --> 50:26.000]  Il faut que tout le monde fasse la même chose sinon on aura que des embêtements.
[50:28.000 --> 50:34.000]  Donc dans notre réseau, comme dans tous les autres réseaux, on a fait un choix.
[50:34.000 --> 50:43.000]  Et nous on a choisi ce qui était le plus facile à argumenter pour nos conseillers lors de la prise de mandat.
[50:43.000 --> 50:51.000]  Charge acquirreur, parce que ça permet de dire aux vendeurs, c'est pas vous qui payez les honoraires, c'est l'acquirreur.
[50:51.000 --> 50:56.000]  Donc l'acquirreur négociera les honoraires, vous négociez votre net vendeur.
[50:56.000 --> 51:09.000]  Et charge acquirreur à mon sens, et les plus anciens de la lucarne qui étaient là à cette époque, c'est ce qui est le plus facile à manipuler et à argumenter
[51:09.000 --> 51:15.000]  lors de la prise de mandat, notamment pour argumenter sur le mandat tout court mais également sur les honoraires.
[51:15.000 --> 51:23.000]  Et ça on va y revenir lors de là, entre ceux d'entre vous qui adhèrent au programme de monter en gamme.
[51:23.000 --> 51:27.000]  Donc on a fait le choix, charge acquirreur.
[51:27.000 --> 51:30.000]  Chez nous, tous les mandats sont charge acquirreur.
[51:30.000 --> 51:36.000]  Une société comme safty a fait le choix inverse, ils ont dit non non, chez nous ce sera tout le monde charge vendeur.
[51:37.000 --> 51:43.000]  La plupart des gens choisissent charge vendeur parce que ça permet de, quand on est charge vendeur, on a moins d'informations à mettre dans l'annonce.
[51:43.000 --> 51:47.000]  Donc on peut plus facilement entre guillemets masquer ses honoraires.
[51:47.000 --> 51:57.000]  C'est pas une bonne idée, aujourd'hui on est dans une société qui réclame plus de transparence,
[51:57.000 --> 52:03.000]  donc il vaut mieux donner plus d'informations que pas assez d'informations.
[52:04.000 --> 52:07.000]  Mais en tout cas ça vient tout simplement de là.
[52:07.000 --> 52:11.000]  Chaque réseau fait un choix, vendeur ou acquirreur.
[52:11.000 --> 52:15.000]  Nous on a choisi acquirreur, d'autres réseaux ont choisi vendeur.
[52:15.000 --> 52:18.000]  Et ça tient tout simplement à ça.
[52:18.000 --> 52:25.000]  On pourrait demain dire, allez à partir du 1er janvier 2026, on sera charge vendeur.
[52:25.000 --> 52:26.000]  On a le droit.
[52:26.000 --> 52:30.000]  Tant que derrière tous nos mandats sont bien charge vendeur et on respecte la règle,
[52:30.000 --> 52:33.000]  les ventes sont charge vendeur, les annonces sont publiées avec une fiche charge vendeur,
[52:33.000 --> 52:36.000]  on pourrait très bien changer ça si on voulait.
[52:36.000 --> 52:41.000]  On ne le fera pas parce que ce n'est pas dans votre intérêt, mais on pourrait y décider.
[52:41.000 --> 52:47.000]  Tout simplement, lorsque les honoraires sont pour l'acquirreur, celui-ci ne paie-t-il pas moins de frais au notaire ?
[52:47.000 --> 52:48.000]  Si, exactement.
[52:48.000 --> 52:53.000]  Quand les honoraires sont charge acquirreur, il y a un petit peu moins de frais de notaire
[52:53.000 --> 53:00.000]  parce que les honoraires sont sortis du prix de vente et donc il n'y a pas de frais de notaire payés sur les honoraires.
[53:00.000 --> 53:02.000]  C'est tout à fait vrai.
[53:02.000 --> 53:08.000]  Intéressé de savoir l'intérêt d'être à charge acquirreur.
[53:08.000 --> 53:11.000]  Alors, l'intérêt est double.
[53:11.000 --> 53:17.000]  Premièrement pour pouvoir dire au vendeur lors de la prise du mandat, c'est l'acquirreur qui paye les honoraires,
[53:17.000 --> 53:19.000]  vous n'avez pas à vous en inquiéter.
[53:20.000 --> 53:24.000]  Et moi, je négocierai mes honoraires avec l'acquirreur.
[53:24.000 --> 53:29.000]  Donc, vous ne négociez pas les honoraires.
[53:29.000 --> 53:33.000]  Et le vendeur essaie quand même de négocier les honoraires, même quand on échange acquirreur.
[53:33.000 --> 53:44.000]  Quand on échange vendeur, il est en position de force dans la négociation du mandat
[53:44.000 --> 53:48.000]  pour réduire vos honoraires au niveau où lui le souhaite.
[53:48.000 --> 53:51.000]  Quand vous êtes à charge acquirreur, c'est vous qui êtes en position de force.
[53:51.000 --> 53:55.000]  Ça ne veut pas dire que ça empêche le vendeur de le faire, il essaie quand même,
[53:55.000 --> 53:58.000]  mais il a beaucoup moins prise sur vos honoraires.
[53:58.000 --> 54:00.000]  Il est bien moins armé.
[54:00.000 --> 54:04.000]  Ce que derrière l'acquirreur lui, il renégociera vos honoraires.
[54:04.000 --> 54:13.000]  Si le vendeur a déjà le sous-prétexte qu'on est charge vendeur, sabrez vos honoraires, il les a, je vous dis une bêtise, divisés par deux.
[54:13.000 --> 54:17.000]  Parce qu'il est en position de force quand on échange vendeur.
[54:17.000 --> 54:23.000]  Derrière, vous vendez et l'acquirreur lui, il veut baisser le prix au maximum, c'est normal.
[54:23.000 --> 54:25.000]  Et donc lui, il va renégocier vos honoraires.
[54:25.000 --> 54:27.000]  Vous avez pu, hein ?
[54:27.000 --> 54:29.000]  Et vous perdez de l'argent sur vos ventes.
[54:29.000 --> 54:38.000]  Donc le premier bénéfice pour vous, c'est de « désarmer » entre guillemets, parce qu'il n'est pas complètement désarmé,
[54:38.000 --> 54:46.000]  mais c'est enlever des armes, enlever des arguments au vendeur lors de la prise du mandat pour que lui décide de baisser vos honoraires.
[54:46.000 --> 54:52.000]  C'est le premier avantage.
[54:52.000 --> 54:59.000]  Le deuxième avantage, il est effectivement côté acquirreur, parce que l'acquirreur, vous pouvez lui dire,
[54:59.000 --> 55:03.000]  vous allez payer moins de frais de notaire exactement comme le disait Nadja, c'est en un sens.
[55:03.000 --> 55:09.000]  Vous allez payer moins de droits d'enregistrement.
[55:09.000 --> 55:10.000]  Vous allez avoir une réduction.
[55:10.000 --> 55:15.000]  Alors si vous allez acheter chez safty et qu'il est charge vendeur, vous allez payer des frais de notaire sur les honoraires de safty.
[55:15.000 --> 55:20.000]  Et moi, vous ne payerez pas de frais de notaire sur mes honoraires.
[55:20.000 --> 55:27.000]  Les frais de notaire sur les honoraires, on va dire que c'est environ 700 euros par tranche de 10 000 euros.
[55:27.000 --> 55:30.000]  7-800 euros par tranche de 10 000 euros.
[55:30.000 --> 55:34.000]  C'est-à-dire qu'il y a 10 000 euros d'honoraires, ça fait 7-800 euros à payer en plus pour l'acquirreur.
[55:34.000 --> 55:39.000]  Il y a 20 000 euros d'honoraires, ça fait environ 1 400-1 500 euros.
[55:39.000 --> 55:42.000]  On va dire 1 500 euros en plus à payer.
[55:43.000 --> 55:49.000]  30 000 euros d'honoraires, on arrive là 3x7, 21.
[55:49.000 --> 55:53.000]  On arrive à 2 500 euros en plus.
[55:53.000 --> 56:00.000]  On va dire oui, mais sur 30 000 euros, quelqu'un qui a les moyens de payer 30 000 euros, il a les moyens de payer 2 500 euros en plus.
[56:00.000 --> 56:02.000]  Il a peut-être les moyens, mais à ce qu'il a envie.
[56:02.000 --> 56:04.000]  Bien sûr que non.
[56:04.000 --> 56:08.000]  Pourquoi vous croyez que quelqu'un achète une grosse maison en payant des gros honoraires?
[56:08.000 --> 56:10.000]  Parce qu'il fait attention à son argent.
[56:10.000 --> 56:14.000]  Ah ben oui, celui qui gâche son argent, il sera pauvre toute sa vie.
[56:14.000 --> 56:18.000]  Celui qui fait attention à son argent, il sera un petit peu plus riche.
[56:18.000 --> 56:27.000]  Donc double effet, premièrement effet auprès du vendeur pour lui enlever des leviers de négociation lors de la prise du mandat.
[56:27.000 --> 56:31.000]  Deuxième effet auprès de l'acquirreur pour lui faire comprendre.
[56:31.000 --> 56:33.000]  Et ça, vous devez en parler.
[56:33.000 --> 56:36.000]  Il ne faut pas le laisser passer, le laisser passer à la trappe.
[56:36.000 --> 56:42.000]  Vous devez dire à l'acquirreur que vous avez cet avantage par rapport au concurrent pour lui.
[56:42.000 --> 56:45.000]  Il ne faut pas le laisser au placard cet argument là.
[56:45.000 --> 56:47.000]  Il est très important.
[56:47.000 --> 56:51.000]  Qui n'a pas envie que ce soit dans l'économie actuelle comme dans la partielle économique,
[56:51.000 --> 56:53.000]  qui n'a pas envie d'économiser des sous.
[56:53.000 --> 56:55.000]  C'est du bon sens.
[56:59.000 --> 57:00.000]  Je vous souhaite d'excellentes fêtes.
[57:00.000 --> 57:03.000]  Merci pour tout ce que vous nous apportez au quotidien.
[57:03.000 --> 57:09.000]  Rendez-vous en 2024 et n'oubliez pas notre apérodinatoire le 30 janvier.
[57:09.000 --> 57:11.000]  Est-ce que ça veut dire que Julien nous quitte ?
[57:11.000 --> 57:17.000]  Oui, je serai là pour l'apérodinatoire le 30 janvier, c'est promis.
[57:17.000 --> 57:20.000]  Est-ce que ça veut dire que Julien nous quitte pour ce soir ?
[57:20.000 --> 57:22.000]  J'aurais voulu vous parler de...
[57:22.000 --> 57:24.000]  On ne va pas en parler aujourd'hui.
[57:24.000 --> 57:26.000]  On en parlera lors de la prochaine vidéo du jeudi.
[57:26.000 --> 57:29.000]  Les nouveaux services Le Bon Coin que nous avons pris pour vous.
[57:29.000 --> 57:33.000]  On a négocié les tarifs Le Bon Coin.
[57:33.000 --> 57:36.000]  N'hésitez pas à dire si je n'ai pas été clair pour le change d'accent.
[57:36.000 --> 57:39.000]  On peut y revenir.
[57:39.000 --> 57:41.000]  C'est juste comme Julien nous dit ça.
[57:41.000 --> 57:48.000]  On parlera début janvier de la négociation qu'on a faite avec Le Bon Coin.
[57:52.000 --> 57:54.000]  Pourquoi je vous parle de ça ?
[57:54.000 --> 57:57.000]  Julien dit merci de tout ce que vous apportez au quotidien.
[57:59.000 --> 58:02.000]  Moi, si vous voulez, je peux encore négocier 20 minutes avec ma chef.
[58:02.000 --> 58:05.000]  Non, il faut que je prenne les documents du Bon Coin.
[58:05.000 --> 58:08.000]  Je n'ai pas préparé ça spécifiquement.
[58:08.000 --> 58:10.000]  Mais c'est comme vous en parlez.
[58:10.000 --> 58:20.000]  Franchement, on a fait un point avec Le Bon Coin parce qu'on a fait la négociation il y a 5 jours.
[58:20.000 --> 58:23.000]  Avec Le Bon Coin pour les tarifs 2024.
[58:23.000 --> 58:25.000]  Alors oui, c'est une augmentation.
[58:25.000 --> 58:29.000]  Ça nous coûte notamment plus cher.
[58:29.000 --> 58:33.000]  Ça nous coûte pas mal plus cher.
[58:33.000 --> 58:35.000]  Le Bon Coin cette année.
[58:35.000 --> 58:42.000]  Mais on a fait un point notamment sur la visibilité de vos annonces par rapport au concurrent.
[58:42.000 --> 58:50.000]  On a fait un point sur ce qu'on met dans la balance pour les remonter d'annonces.
[58:50.000 --> 58:55.000]  Concrètement, on en parlera à ce moment-là.
[58:55.000 --> 58:58.000]  Mais vous économisez.
[58:58.000 --> 59:00.000]  Je vais vous économiser.
[59:00.000 --> 59:02.000]  Non, parce qu'on le paye.
[59:02.000 --> 59:03.000]  Ce n'est pas gratuit.
[59:03.000 --> 59:07.000]  Mais en étant à la lucarde, notamment avec les remontées d'annonces,
[59:07.000 --> 59:10.000]  c'est une économie par rapport au...
[59:10.000 --> 59:14.000]  Quelqu'un sait combien coûte une remontée Le Bon Coin ?
[59:14.000 --> 59:19.000]  Si je mets ma carte bleue aujourd'hui, ça coûte combien une remontée ?
[59:19.000 --> 59:21.000]  Ortax ou TTC Pierre ?
[59:21.000 --> 59:23.000]  Julien dit 18 euros.
[59:23.000 --> 59:26.000]  Aujourd'hui, combien coûte une remontée ?
[59:34.000 --> 59:35.000]  Trop cher oui.
[59:35.000 --> 59:37.000]  Alors ça, Hugues.
[59:37.000 --> 59:39.000]  C'est tout le temps trop cher.
[59:41.000 --> 59:42.000]  Autour de 8 euros ?
[59:42.000 --> 59:44.000]  Je me demande si c'est pas autour de 8 euros.
[59:44.000 --> 59:47.000]  Est-ce que vous savez combien ?
[59:49.000 --> 59:56.000]  Une annonce est remontée.
[59:56.000 --> 01:00:01.000]  Si vous êtes chez Safty, vous donnez juste un chiffre qui est assez intéressant.
[01:00:01.000 --> 01:00:02.000]  Pourquoi je vous dis ça ?
[01:00:02.000 --> 01:00:04.000]  Parce que Julien a dit merci de ce que vous nous apportez au quotidien.
[01:00:04.000 --> 01:00:05.000]  C'est pour ça.
[01:00:05.000 --> 01:00:08.000]  Et on a eu cette négociation avec Le Bon Coin.
[01:00:08.000 --> 01:00:14.000]  Et quand on négociait le truc, Le Bon Coin nous disait, nous a dit,
[01:00:14.000 --> 01:00:17.000]  regardez ce que vous leur filez gratos à vos agents.
[01:00:17.000 --> 01:00:22.000]  Quand on était en train de négocier, on disait, non, ça c'est trop cher, etc.
[01:00:22.000 --> 01:00:25.000]  Il nous disait, regardez ce que vous leur filez à vos agents.
[01:00:25.000 --> 01:00:29.000]  Normalement, c'est l'agent qui le paye dans son coin.
[01:00:29.000 --> 01:00:31.000]  Et là, c'est vous qui le payez.
[01:00:31.000 --> 01:00:34.000]  Ils nous ont expliqué un petit peu les remontées d'annonces.
[01:00:34.000 --> 01:00:38.000]  Combien ça coûte à nos concurrents ?
[01:00:38.000 --> 01:00:41.000]  Et combien ça coûte à nos concurrents ?
[01:00:41.000 --> 01:00:43.000]  Quand je dis à nos concurrents, c'est aux autres.
[01:00:43.000 --> 01:00:46.000]  Mathieu me dit, c'est 10,42 euros hors taxes.
[01:00:46.000 --> 01:00:49.000]  Voilà, 10,42 euros hors taxes.
[01:00:51.000 --> 01:00:54.000]  Et Marc nous dit, remontez votre annonce, remontez automatiquement votre annonce,
[01:00:54.000 --> 01:00:56.000]  on les résultat, on recherche votre catégorie, on sait avoir plus, évidement.
[01:00:56.000 --> 01:00:58.000]  10,90 euros chaque jour pendant 7 jours,
[01:00:58.000 --> 01:01:01.000]  54,90 euros chaque jour pendant 30 jours.
[01:01:01.000 --> 01:01:03.000]  Ça, c'est un truc pendant plusieurs jours.
[01:01:04.000 --> 01:01:07.000]  Soit 12,50 euros TTC, me dit Mathieu.
[01:01:07.000 --> 01:01:09.000]  Voilà, les tarifs exacts.
[01:01:09.000 --> 01:01:17.000]  Alors, oui, mais Marc, vous êtes en train de parler d'une remontée à la une pendant 7 jours,
[01:01:17.000 --> 01:01:19.000]  pendant 30 jours, etc.
[01:01:19.000 --> 01:01:22.000]  Moi, je parle juste d'une remontée brute.
[01:01:22.000 --> 01:01:24.000]  Juste, hop, je remonte mon truc.
[01:01:24.000 --> 01:01:29.000]  C'est 10,42 euros hors taxes, soit 12,50 euros TTC.
[01:01:32.000 --> 01:01:34.000]  C'est pour ça, le bon coin nous disait,
[01:01:34.000 --> 01:01:38.000]  bah oui, mais ça, vous vous chouinez que c'est trop cher, que c'est machin, que c'est truc.
[01:01:38.000 --> 01:01:40.000]  Vous n'avez qu'à pas prendre des remontées automatiques.
[01:01:40.000 --> 01:01:43.000]  Vous êtes les seuls, mais le seul réseau.
[01:01:43.000 --> 01:01:49.000]  Il y a des safety, propriété privée, Optimum, Capi France, La Fourmi,
[01:01:49.000 --> 01:01:53.000]  Qisege, 3G Immobilier, BSK, Zig Ziggy Mo.
[01:01:53.000 --> 01:01:57.000]  On est les, il y a 2-3 ans, c'était 7,50 euros.
[01:01:57.000 --> 01:01:58.000]  Oui, ça a bien augmenté, c'est vrai.
[01:01:58.000 --> 01:02:00.000]  Ça a bien augmenté avec le Covid, notamment.
[01:02:00.000 --> 01:02:03.000]  Le Covid, ça a été une excuse pour tout augmenter partout.
[01:02:03.000 --> 01:02:05.000]  Ça, vous avez remarqué, on se fait bien avoir avec ça.
[01:02:08.000 --> 01:02:14.000]  Et dans tous les réseaux, les négociateurs achètent eux-mêmes leurs remontées.
[01:02:14.000 --> 01:02:16.000]  Vous savez quelle est la différence ?
[01:02:16.000 --> 01:02:22.000]  C'est que il y a des réseaux qui achètent les remontées
[01:02:22.000 --> 01:02:25.000]  et qui les revendent à leurs agents,
[01:02:27.000 --> 01:02:29.000]  avec un bénéfice ou pas.
[01:02:29.000 --> 01:02:30.000]  La plupart des réseaux font un bénéfice.
[01:02:30.000 --> 01:02:36.000]  Par exemple, un réseau achète, parce qu'ils achètent un gros volume de remontées.
[01:02:36.000 --> 01:02:39.000]  Je vous dis une bêtise, 10 000 euros pour remonter.
[01:02:39.000 --> 01:02:44.000]  Au lieu de les payer 10 euros et 40 nœuds, ils les payent 5 euros à l'unité
[01:02:44.000 --> 01:02:47.000]  et ils les revendent 7 euros à l'agent.
[01:02:50.000 --> 01:02:53.000]  En réalité, ils font un bénéfice de 2 euros, je vous dis des chiffres fictifs,
[01:02:53.000 --> 01:02:54.000]  2 euros de bénéfice.
[01:02:54.000 --> 01:02:58.000]  Imaginez, vous achetez 10 000 annonces à 5 euros
[01:02:58.000 --> 01:03:00.000]  et vous les revendez les 10 000 à 7 euros,
[01:03:00.000 --> 01:03:04.000]  vous faites un bénéfice de 10 000 x 2 euros, 20 000 euros.
[01:03:05.000 --> 01:03:08.000]  20 000 euros de bénéfice.
[01:03:10.000 --> 01:03:12.000]  Dans la poche, c'est sympa, hein ?
[01:03:12.000 --> 01:03:17.000]  Et nous sommes le seul réseau à acheter les remontées
[01:03:17.000 --> 01:03:21.000]  et à ne pas vouloir vendre que ce soit à prix coutant
[01:03:21.000 --> 01:03:23.000]  ou que ce soit avec bénéfice.
[01:03:23.000 --> 01:03:27.000]  Nous ne vous les faisons pas payer.
[01:03:28.000 --> 01:03:29.000]  En moyenne,
[01:03:30.000 --> 01:03:33.000]  des noms de ceux qui revendent, il y a des saftis,
[01:03:33.000 --> 01:03:35.000]  il y a des saftis,
[01:03:35.000 --> 01:03:38.000]  propriété privée, je ne sais pas s'ils font un bénéfice dessus ou pas.
[01:03:38.000 --> 01:03:42.000]  Je ne suis pas sûr, mais je sais qu'il y a des saftis, ils font des bénéfices dessus.
[01:03:42.000 --> 01:03:44.000]  Clairement, clairement.
[01:03:44.000 --> 01:03:46.000]  Je ne sais pas de combien.
[01:03:46.000 --> 01:03:49.000]  Je ne sais pas combien il y a de bénéfices.
[01:03:51.000 --> 01:03:53.000]  Et c'est moins cher parce qu'ils disent à l'agent
[01:03:53.000 --> 01:03:57.000]  « Si vous, vous allez l'acheter vous-même, vous allez le payer 10,42 euros. »
[01:03:57.000 --> 01:03:59.000]  Hortat, c'est-à-dire 12,50 € TTC.
[01:03:59.000 --> 01:04:02.000]  Donc achetez-le chez nous, c'est moins cher et paf !
[01:04:02.000 --> 01:04:05.000]  Comme eux, ils en ont acheté un gros volume, il y a des bénéfices.
[01:04:05.000 --> 01:04:07.000]  Une annonce
[01:04:10.000 --> 01:04:12.000]  est remontée
[01:04:12.000 --> 01:04:14.000]  en moyenne
[01:04:14.000 --> 01:04:16.000]  par le négociateur.
[01:04:17.000 --> 01:04:19.000]  Combien de fois, votre avis ?
[01:04:19.000 --> 01:04:22.000]  Un négociateur remonte son annonce en moyenne combien de fois ?
[01:04:22.000 --> 01:04:24.000]  Une annonce qui veut booster un petit peu.
[01:04:27.000 --> 01:04:29.000]  Allez-y, lancez-vous !
[01:04:32.000 --> 01:04:34.000]  Un adélatif à trouver tout de suite.
[01:04:34.000 --> 01:04:36.000]  Bravo.
[01:04:36.000 --> 01:04:38.000]  Cinq fois.
[01:04:38.000 --> 01:04:43.000]  Cinq fois dans la durée de vie de l'annonce.
[01:04:44.000 --> 01:04:49.000]  Cinq fois dans la durée de vie de l'annonce.
[01:04:51.000 --> 01:04:53.000]  Cinq fois au cours.
[01:04:53.000 --> 01:04:59.000]  En fait, ce n'est pas cinq fois, c'est 4,7 fois, quelque chose comme ça.
[01:04:59.000 --> 01:05:02.000]  C'est entre 4,5 et 5 fois parce qu'il faut une moyenne.
[01:05:02.000 --> 01:05:03.000]  Donc on va dire cinq fois.
[01:05:03.000 --> 01:05:07.000]  C'est entre 4 et 5 fois, mais c'est 4,75 fois, je ne sais pas, on parle comme ça.
[01:05:07.000 --> 01:05:08.000]  On va dire cinq fois.
[01:05:08.000 --> 01:05:12.000]  Cinq fois au cours de la durée de vie de l'annonce.
[01:05:14.000 --> 01:05:21.000]  Ça veut dire, parce que comme 90% des négociateurs sont auto-entrepreneurs,
[01:05:21.000 --> 01:05:23.000]  ils payent la TVA, ils ne la récupèrent pas.
[01:05:23.000 --> 01:05:29.000]  Donc ça veut dire, cinq fois 12,5.
[01:05:30.000 --> 01:05:35.000]  62,50 euros de remontée de la poche de l'agent.
[01:05:35.000 --> 01:05:39.000]  Ou un peu moins cher lorsque c'est le réseau qui négocie qui le revendère.
[01:05:40.000 --> 01:05:41.000]  Ça prend.
[01:05:44.000 --> 01:05:48.000]  Est-ce que vous savez combien de fois sont remontées les annonces à la lucarne ?
[01:06:05.000 --> 01:06:06.000]  Vingt fois.
[01:06:07.000 --> 01:06:08.000]  En moyenne.
[01:06:09.000 --> 01:06:13.000]  Entre les annonces que vous, les produits que vous vendez rapidement,
[01:06:13.000 --> 01:06:15.000]  parce que bon prix, machin, etc.
[01:06:15.000 --> 01:06:18.000]  et vous le vendez au bout de un mois et demi.
[01:06:19.000 --> 01:06:27.000]  Et le produit qui dure 15 mois, c'est la durée de vie d'une annonce chez nous.
[01:06:27.000 --> 01:06:29.000]  Une annonce en moyenne,
[01:06:29.000 --> 01:06:30.000]  est remontée 20 fois.
[01:06:31.000 --> 01:06:33.000]  Est-ce qu'il y a une périodicité ? Oui.
[01:06:33.000 --> 01:06:35.000]  Il y a une périodicité moyenne.
[01:06:35.000 --> 01:06:36.000]  Je ne me souviens plus c'est quoi ?
[01:06:36.000 --> 01:06:37.000]  C'est tous les...
[01:06:38.000 --> 01:06:40.000]  Mathieu, vous vous souvenez ?
[01:06:40.000 --> 01:06:42.000]  La périodicité moyenne de remontée des annonces.
[01:06:42.000 --> 01:06:44.000]  C'est eux qui décident, ça c'est pas nous.
[01:06:44.000 --> 01:06:46.000]  On ne peut pas dire, on veut que ce soit remonté tous les X.
[01:06:46.000 --> 01:06:50.000]  C'est eux qui décident et s'ils ont un algorithme machin, je ne sais pas quoi,
[01:06:50.000 --> 01:06:52.000]  qui fait qu'une annonce est remontée automatiquement.
[01:06:52.000 --> 01:06:54.000]  C'est-à-dire que les gens qui ont des annonces,
[01:06:54.000 --> 01:06:56.000]  s'ils ont un algorithme machin, je ne sais pas quoi,
[01:06:56.000 --> 01:06:59.000]  qui fait qu'une annonce est remontée automatiquement.
[01:06:59.000 --> 01:07:02.000]  Mathieu va me dire ça, parce que ça je ne m'en souviens plus.
[01:07:03.000 --> 01:07:06.000]  Entre 7 et 10 jours généralement, c'est ça Mathieu ?
[01:07:06.000 --> 01:07:08.000]  Mathieu me dit c'est entre 7 et 10 jours généralement.
[01:07:13.000 --> 01:07:16.000]  Vous imaginez si vous payiez de votre poche les 20 fois ?
[01:07:18.000 --> 01:07:23.000]  20 fois 12,5, 250 euros d'économisé.
[01:07:23.000 --> 01:07:27.000]  Alors, en fait, vous n'iriez pas la remonter 20 fois,
[01:07:27.000 --> 01:07:30.000]  vous la feriez comme tout le monde, vous la remonteriez 5 fois,
[01:07:30.000 --> 01:07:34.000]  et vous économiseriez non pas 250 euros,
[01:07:34.000 --> 01:07:37.000]  vous économiseriez comme tout le monde, vous feriez gain sur vos sous,
[01:07:37.000 --> 01:07:42.000]  vous feriez 5 fois 12,5, vous économiseriez 62,50 euros.
[01:07:42.000 --> 01:07:46.000]  Nous, nous faisons, oui c'est ça, avec les algorithmes,
[01:07:46.000 --> 01:07:48.000]  ils jugent si l'annonce en a besoin ou pas,
[01:07:48.000 --> 01:07:50.000]  et ça la remonte quand elle en a besoin,
[01:07:50.000 --> 01:07:52.000]  automatiquement, sans vous poser de questions.
[01:07:52.000 --> 01:07:54.000]  Et ça c'est sur toutes vos annonces,
[01:07:54.000 --> 01:07:58.000]  parce qu'une annonce est remontée par le négociateur 5 fois au cours de la durée de l'annonce,
[01:07:58.000 --> 01:08:00.000]  mais en réalité, ils font quoi ?
[01:08:00.000 --> 01:08:03.000]  Ils remontent que les annonces sur lesquelles ils investissent.
[01:08:03.000 --> 01:08:06.000]  Les produits qui ne sont pas au prix, ils ne les remontent pas, bien sûr.
[01:08:06.000 --> 01:08:08.000]  Bien sûr.
[01:08:12.000 --> 01:08:18.000]  Nous sommes le seul réseau, le seul à remonter vos annonces automatiquement, gratuitement,
[01:08:18.000 --> 01:08:20.000]  sans vous faire payer quoi que ce soit.
[01:08:20.000 --> 01:08:25.000]  De même, nous sommes le seul réseau, le seul à diffuser vos mandats pendant 15 mois.
[01:08:25.000 --> 01:08:29.000]  Dans tous les réseaux, les mandats sont diffusés pendant 2, 3 mois maximum,
[01:08:29.000 --> 01:08:30.000]  et après ils arrêtent.
[01:08:30.000 --> 01:08:32.000]  Ils disent, si ça ne s'est pas vendu, nous on arrête de payer.
[01:08:32.000 --> 01:08:34.000]  C'est en l'agent de payer la diffusion par la suite.
[01:08:37.000 --> 01:08:42.000]  C'est pareil chez SAFTI, c'est pareil chez IAP, c'est pareil chez tout le monde.
[01:08:42.000 --> 01:08:43.000]  J'ai tout le monde.
[01:08:43.000 --> 01:08:48.000]  Julien m'envoyait il y a quelques mois le contrat de l'affourmi immobilier.
[01:08:48.000 --> 01:08:49.000]  C'était quoi Julien ?
[01:08:49.000 --> 01:08:52.000]  C'était 2 mois la diffusion et après c'était à l'approche de l'agent ?
[01:08:52.000 --> 01:08:55.000]  Je crois que c'était 2 mois, je me sens plus très bien.
[01:08:55.000 --> 01:08:59.000]  On peut aller voir directement parce que je me souviens très bien que...
[01:08:59.000 --> 01:09:00.000]  Regardez.
[01:09:01.000 --> 01:09:05.000]  Après les gens disent, ah oui Nicolas, il en vend tout ça, c'est pas vrai.
[01:09:05.000 --> 01:09:08.000]  C'est des histoires, c'est que lui.
[01:09:08.000 --> 01:09:14.000]  Regardez, je vais prendre directement le contrat que m'avait envoyé Julien.
[01:09:14.000 --> 01:09:18.000]  Julien, l'immoraison l'affourmi, le mois ci.
[01:09:19.000 --> 01:09:22.000]  Contrat l'affourmi immobilier, agent de proximité.
[01:09:22.000 --> 01:09:25.000]  Et oula, on descend ce qu'on trouve.
[01:09:25.000 --> 01:09:27.000]  Ça c'est le contrat entre l'affourmi et un agent.
[01:09:28.000 --> 01:09:32.000]  Et c'est où la diffusion, durée résiliation, initiative du mandataire,
[01:09:32.000 --> 01:09:34.000]  peut-être un service ?
[01:09:36.000 --> 01:09:38.000]  On trouve ça.
[01:09:38.000 --> 01:09:40.000]  Bon tout est payant chez eux.
[01:09:45.000 --> 01:09:48.000]  Le pack Starter, le pack Booster.
[01:09:50.000 --> 01:09:53.000]  Vous vous souvenez Julien ? Combien de temps c'était ?
[01:10:01.000 --> 01:10:04.000]  Il faudrait qu'on cherche, je ne me souviens plus.
[01:10:04.000 --> 01:10:05.000]  C'est dedans.
[01:10:05.000 --> 01:10:10.000]  J'aurais aimé que Julien s'en souvienne pour me le dire parce que j'étais persuadé que c'était...
[01:10:10.000 --> 01:10:13.000]  Ah Julien est parti à l'apéro.
[01:10:13.000 --> 01:10:15.000]  D'accord, merci.
[01:10:15.000 --> 01:10:17.000]  Je le retrouverai pour la prochaine vision conférence.
[01:10:17.000 --> 01:10:24.000]  Je le retrouverai, mais il y a dedans, il me dit que les mandats sont diffusés pendant un certain temps.
[01:10:25.000 --> 01:10:26.000]  Un mois !
[01:10:27.000 --> 01:10:28.000]  Un mois !
[01:10:29.000 --> 01:10:31.000]  Ah non, c'est pas ça du tout, vous dites bêtise.
[01:10:31.000 --> 01:10:34.000]  C'est pas ça du tout, il faudrait que je relisse tout.
[01:10:34.000 --> 01:10:36.000]  Deux mois, voilà c'est ici.
[01:10:36.000 --> 01:10:43.000]  Elles seront gratuites dans les limites des annonces prépayées par le mandat pendant deux mois à compter la signature du premier mandat de chaque dossier.
[01:10:43.000 --> 01:10:45.000]  Passez ce délai.
[01:10:45.000 --> 01:10:47.000]  Voilà, c'est ça, c'est deux mois, je ne me trompais pas.
